p_val	avg_log2FC	pct.1	pct.2	p_val_adj
nanos1	3.81523560786301e-76	1.11399307467107	0.663	0.498	7.63047121572603e-73
crybb1l2	5.60120380569463e-76	-0.318306681175572	0.036	0.46	1.12024076113893e-72
si:dkey-7c18.24	1.34882081732744e-75	-0.320077271899838	0.002	0.39	2.69764163465487e-72
ctsl.1	8.34161357837974e-75	-0.547871476611974	0	0.383	1.66832271567595e-71
cpb1	1.22087994594709e-74	-0.536485612936624	0	0.437	2.44175989189418e-71
snap25b	1.73181310950753e-74	-0.385337184615573	0.019	0.455	3.46362621901506e-71
nme2b.2	1.89304247934371e-74	-1.21103082187143	0.096	0.541	3.78608495868742e-71
si:ch211-125o16.4	5.61651526032568e-74	-0.372128758933756	0.017	0.417	1.12330305206514e-70
tpm3	1.2240810373401e-73	0.45764569747757	0.953	0.759	2.44816207468019e-70
zgc:111983	1.41010740405473e-73	-1.61668383506245	0.011	0.465	2.82021480810945e-70
actc1b	1.66944398378413e-73	-2.38893022217032	0.759	0.917	3.33888796756825e-70
sox10	1.78117329472467e-73	-0.314061122109607	0.006	0.419	3.56234658944933e-70
gyg1b	2.12491477462266e-73	-0.361690798108392	0.008	0.429	4.24982954924531e-70
stmn1b	2.3837316242048e-73	-0.892972121413856	0.123	0.571	4.7674632484096e-70
pvalb7	2.55162192670609e-73	-0.860247399359034	0	0.406	5.10324385341217e-70
rcvrn3	2.25783098441515e-72	-0.334876916263678	0.009	0.415	4.51566196883029e-69
crabp1b	3.07912307803555e-72	-0.370894704675635	0.039	0.462	6.15824615607109e-69
si:ch211-156j16.1	1.29720840069481e-71	-0.526822825940995	0.039	0.483	2.59441680138961e-68
hgd	1.57827133492006e-71	-0.863396155724117	0.012	0.459	3.15654266984012e-68
mt2	1.64164205722633e-71	-1.23370536053422	0.039	0.502	3.28328411445265e-68
ptgdsb.2	1.53683363789539e-70	-1.65152200406593	0.019	0.476	3.07366727579077e-67
rbp4	1.98474295894885e-70	-2.92415250844621	0.076	0.547	3.9694859178977e-67
cldn11a	6.04564099526762e-70	-0.487959251671043	0.002	0.41	1.20912819905352e-66
si:ch211-157c3.4	1.14761315959962e-69	-0.580278605469488	0.065	0.477	2.29522631919924e-66
ak1	1.73333748718098e-69	-1.43197712942108	0.171	0.614	3.46667497436195e-66
hapln1a	2.56338999597195e-69	-0.913350699302052	0.11	0.549	5.12677999194389e-66
aplnra	3.35470906285212e-69	0.601235999274254	0.451	0.277	6.70941812570424e-66
frem2a	3.59463669353951e-69	0.953942509836414	0.495	0.34	7.18927338707903e-66
si:ch211-147m6.1	6.91498812032958e-69	-0.36188347451114	0.009	0.362	1.38299762406592e-65
agr1	8.44346021963843e-69	-0.829480818028048	0.086	0.508	1.68869204392769e-65
si:ch73-347e22.8	1.39770907966676e-68	-0.252458183603522	0.045	0.435	2.79541815933353e-65
hmgb2a	1.93441698783145e-68	0.504628148019579	1	0.974	3.8688339756629e-65
and1	8.2773059565159e-68	-0.782740599237097	0.03	0.448	1.65546119130318e-64
aldoab	1.21030190543572e-67	-0.462247869993417	0.081	0.5	2.42060381087144e-64
apodb	3.0911925341709e-67	-0.697890599874809	0.014	0.442	6.18238506834181e-64
col4a6	1.02453071470971e-66	0.663279651831655	0.652	0.517	2.04906142941942e-63
klf5l	5.75704415434966e-66	0.428261087983703	0.443	0.256	1.15140883086993e-62
gsnb	8.34055737461627e-66	0.630131989904687	0.547	0.362	1.66811147492325e-62
slc3a2a	1.22388359954337e-65	-0.428855801164153	0.009	0.442	2.44776719908675e-62
hpdb	3.78452256693168e-65	-0.848065838659009	0.002	0.406	7.56904513386335e-62
tagln2	4.68210810244922e-65	0.629097133962787	0.678	0.406	9.36421620489844e-62
ttc36	7.24627019265066e-65	-0.438048325162073	0.003	0.364	1.44925403853013e-61
tubb2b	1.18470082224574e-64	0.517594485203047	0.98	0.887	2.36940164449148e-61
zgc:153704	1.22483453426754e-62	-0.64915783190403	0	0.397	2.44966906853507e-59
rtn1b	3.26916496397646e-62	-0.307052826238111	0.056	0.467	6.53832992795292e-59
csrp1b	3.65947971304393e-62	-0.31694188731916	0	0.318	7.31895942608786e-59
cahz	1.01488088492497e-61	-0.483222151872387	0.044	0.448	2.02976176984994e-58
glud1b	4.85082848958674e-61	-0.782821543776627	0.253	0.648	9.70165697917349e-58
qdpra	6.0534793661154e-61	-0.550245121089488	0.068	0.491	1.21069587322308e-57
elovl7a	6.25397395930759e-61	-0.323900878570325	0.022	0.43	1.25079479186152e-57
cyp2ad2	1.84551232214681e-60	-0.56242397903655	0	0.391	3.69102464429363e-57
si:dkey-56m19.5	2.98280061393687e-60	-0.683447934812724	0.25	0.664	5.96560122787374e-57
rac2	3.30872407859021e-60	0.497275489345211	0.622	0.447	6.61744815718041e-57
ndnf	3.03609714074139e-59	-0.593184529923221	0.086	0.501	6.07219428148279e-56
mgst1.2	4.63363019286443e-59	-1.18552368514673	0.025	0.483	9.26726038572885e-56
ttn.2	1.14505987631571e-58	-0.619337053298222	0.118	0.518	2.29011975263142e-55
mat1a	2.11493448259746e-58	-0.292373061452001	0.076	0.473	4.22986896519491e-55
aqp8a.1	4.09132437459404e-58	-0.288439059384376	0.005	0.347	8.18264874918809e-55
gpm6aa	1.39512926541339e-57	-0.669999157176994	0.126	0.534	2.79025853082679e-54
epyc	6.55052494924476e-57	-0.904115459399687	0.023	0.405	1.31010498984895e-53
efemp2a	2.59748568138061e-56	-0.303702865638338	0.009	0.405	5.19497136276121e-53
gng3	1.68281870015486e-55	-0.390999848228754	0.107	0.5	3.36563740030972e-52
pck1	2.51878285344119e-55	-0.724038129465578	0	0.409	5.03756570688238e-52
rhcga	3.01482100777104e-55	-1.42016775217648	0	0.41	6.02964201554209e-52
ackr3b	9.20322941309478e-55	0.4876295819504	0.552	0.362	1.84064588261896e-51
ucmab	9.26023339112356e-55	-0.307392832195379	0.042	0.406	1.85204667822471e-51
ebf3a	1.68304534303799e-54	-0.592189482755479	0.073	0.491	3.36609068607599e-51
cldne	1.97859789287523e-54	-1.20006536920148	0.054	0.465	3.95719578575047e-51
nqo1	1.10991772803152e-53	-0.456531819483973	0.076	0.484	2.21983545606303e-50
stx11b.1	1.98559233279211e-53	-0.402525504630884	0.011	0.418	3.97118466558421e-50
mcm6	9.16058194229691e-53	0.757280924211799	0.711	0.673	1.83211638845938e-49
cyp2n13	2.69466494418975e-52	-0.466448470504642	0	0.38	5.38932988837951e-49
vwde	5.98292513043649e-52	-1.09702730478486	0.056	0.447	1.1965850260873e-48
gnat2	1.14086023359996e-51	-0.284706376040336	0	0.375	2.28172046719991e-48
fosab	4.05302035683821e-51	0.306854548154989	0.994	0.926	8.10604071367643e-48
fli1a	1.14458439165802e-50	-0.28434011631895	0.014	0.407	2.28916878331605e-47
zgc:113232	3.04019075292244e-50	-0.872843526549347	0.02	0.353	6.08038150584488e-47
cx43	5.38285248526671e-50	-0.444583028862372	0.072	0.458	1.07657049705334e-46
ifitm1	1.01597489784969e-49	-2.04460118652272	0.002	0.412	2.03194979569938e-46
dlx2a	1.19296762713359e-49	-0.271400168812434	0.104	0.484	2.38593525426718e-46
tnni2b.1	3.88743344591023e-49	-0.598280091936076	0.104	0.474	7.77486689182046e-46
s100a10a	4.08174664856457e-49	-0.397619840074293	0.005	0.353	8.16349329712914e-46
eevs	4.14062912488759e-49	-0.270254880477497	0.002	0.39	8.28125824977517e-46
si:ch211-113d22.2	5.72167791372283e-49	-0.527995614596769	0.003	0.383	1.14433558274457e-45
col4a5	6.21951214390589e-49	0.550187344202606	0.597	0.496	1.24390242878118e-45
zgc:163030	2.69643724092792e-48	-0.583711309548791	0.124	0.511	5.39287448185584e-45
cyp26b1	4.76349853236092e-48	-0.432425086986061	0.058	0.439	9.52699706472184e-45
gpm6ab	1.75307451239699e-47	-0.800668209343253	0.087	0.49	3.50614902479397e-44
her4.2	2.33801615483719e-47	-0.273553924757263	0.145	0.519	4.67603230967437e-44
fosl1a	8.23176073761149e-47	0.511325768853178	0.645	0.494	1.6463521475223e-43
mt-co2	1.82664338437736e-46	-0.667369677611374	1	0.998	3.65328676875471e-43
hand2	1.92635736932286e-46	-0.553285499213315	0.033	0.407	3.85271473864572e-43
junba	2.6475373173611e-46	0.417930794764099	0.944	0.81	5.29507463472221e-43
tmem176l.4	2.67767101454996e-46	-0.89254106633118	0.04	0.449	5.35534202909993e-43
