p_val	avg_log2FC	pct.1	pct.2	p_val_adj
evm.model.000227F-arrow-pilon.39.update	0.00294471694495524	-0.300969604866505	0.064	0.106	1
evm.model.000418F-arrow-pilon.4.update	0.00296741503947988	-0.328850607004113	0.061	0.1	1
evm.model.000060F-arrow-pilon.52.update	0.00297420646050317	-0.485627851645752	0.076	0.12	1
evm.TU.000028F-arrow-pilon.13	0.00306584439367715	-0.281944906150383	0.123	0.174	1
evm.model.000390F-arrow-pilon.14.update	0.00334478372965788	-0.255423921619378	0.061	0.1	1
evm.TU.000539F-arrow-pilon.2	0.00480333003107132	-0.423147256234234	0.062	0.1	1
evm.model.000205F-arrow-pilon.11.update	0.00597786006600416	-0.281167327100233	0.08	0.119	1
evm.model.000137F-arrow-pilon.18.update	0.00627316933170804	0.702091925610514	0.15	0.117	1
evm.model.000262F-arrow-pilon.5.update	0.00634239981038846	-0.349534570267878	0.205	0.261	1
evm.TU.000179F-arrow-pilon.33	0.011234846883087	-0.431722405026999	0.125	0.172	1
evm.model.000066F-arrow-pilon.86.1.update	0.0173980379526732	-0.615128903021855	0.104	0.14	1
evm.model.000004F-arrow-pilon.37.update	0.0219997656897689	-0.252078598783617	0.145	0.19	1
evm.model.000070F-arrow-pilon.10.1.update	0.0227845664676637	-0.270169497564124	0.094	0.129	1
evm.model.000109F-arrow-pilon.39.update	0.0243545692015726	-0.959662664444694	0.096	0.126	1
evm.model.000109F-arrow-pilon.27.update	0.0310298803868361	-0.31448975071229	0.074	0.104	1
evm.model.000942F-arrow-pilon.1.update	0.0315150517389342	0.332859497759765	0.24	0.211	1
evm.model.000467F-arrow-pilon.4.update	0.0452924989871393	-0.264562976781361	0.08	0.107	1
evm.model.000133F-arrow-pilon.56.update	0.0484647511870405	0.350520328544488	0.186	0.229	1
evm.model.000163F-arrow-pilon.12.update	0.0510748985546705	0.42158563233664	0.072	0.1	1
evm.model.000152F-arrow-pilon.45.update	0.0562539234055503	-0.255829692559765	0.082	0.108	1
evm.model.000210F-arrow-pilon.18.update	0.05662327779875	0.305166975701932	0.078	0.106	1
evm.model.000105F-arrow-pilon.43.update	0.0607019865888194	-0.382210728755181	0.18	0.217	1
evm.model.000068F-arrow-pilon.30.update	0.061148254469031	-0.309989477838815	0.098	0.126	1
evm.model.000072F-arrow-pilon.54.update	0.0649837886217507	0.403621278960448	0.074	0.102	1
evm.model.000378F-arrow-pilon.27.update	0.0725086363880209	-0.290401095459428	0.189	0.225	1
evm.model.000082F-arrow-pilon.6.update	0.0813390978871891	-0.322080168543752	0.223	0.189	1
evm.model.000452F-arrow-pilon.12.update	0.105939704884508	-0.435428853781168	0.131	0.158	1
evm.model.000060F-arrow-pilon.35.update	0.110590881523439	-0.28063703453461	0.119	0.097	1
evm.model.000030F-arrow-pilon.10.update	0.111919123105839	-0.35202021272802	0.1	0.125	1
evm.model.000137F-arrow-pilon.35.1.update	0.116524314701632	0.774515435958565	0.107	0.091	1
evm.model.000055F-arrow-pilon.69.update	0.118577421567739	-0.309949410187981	0.246	0.285	1
evm.model.000141F-arrow-pilon.40.update	0.126793362907584	0.554195631169236	0.256	0.238	1
evm.TU.000018F-arrow-pilon.87	0.135727435417759	-0.470341445903772	0.336	0.372	1
evm.model.000004F-arrow-pilon.101.2.update	0.138557327076698	-0.408711722261486	0.088	0.107	1
evm.model.000032F-arrow-pilon.41.update	0.1567837870439	-0.611155023559342	0.184	0.208	1
evm.TU.000463F-arrow-pilon.10	0.164690261931083	-1.02567547524294	0.104	0.119	1
evm.model.000124F-arrow-pilon.41.1.update	0.192410119535776	0.477918532840661	0.156	0.186	1
evm.model.000152F-arrow-pilon.12.update	0.210963636157244	-0.530614571981068	0.168	0.192	1
evm.model.000525F-arrow-pilon.2.update	0.224478647928918	0.346975376700156	0.109	0.094	1
evm.model.000058F-arrow-pilon.12.update	0.312435118299865	0.279167280364742	0.094	0.109	1
evm.model.000222F-arrow-pilon.14.update	0.323095312289694	-0.314852030940256	0.297	0.324	1
evm.model.000047F-arrow-pilon.40.update	0.360916216431564	-0.383488239169122	0.1	0.11	1
MSTRG.6276.update	0.366105876126126	-0.321324821082987	0.164	0.181	1
evm.model.000398F-arrow-pilon.19.update	0.399899108556146	-0.691783278116057	0.154	0.163	1
evm.model.000001F-arrow-pilon.38.update	0.414486689507714	0.294088122326156	0.109	0.1	1
evm.model.000076F-arrow-pilon.4.update	0.469553959324572	0.368527783574386	0.09	0.101	1
evm.model.000108F-arrow-pilon.43.update	0.51339764470725	-0.252764254812	0.189	0.206	1
evm.model.000027F-arrow-pilon.46.update	0.690643954790672	-0.270096911186613	0.102	0.107	1
evm.TU.000140F-arrow-pilon.2	0.694067548663568	-0.42092652548157	0.254	0.246	1
evm.model.000615F-arrow-pilon.10.update	0.694779000676362	-0.250892504203	0.16	0.168	1
evm.model.000025F-arrow-pilon.46.update	0.712259345791275	0.443663896076028	0.107	0.105	1
evm.model.000393F-arrow-pilon.18.update	0.722439347483775	0.280271087466698	0.172	0.183	1
evm.model.000215F-arrow-pilon.45.update	0.747487076468448	0.420293616435651	0.166	0.181	1
evm.model.000057F-arrow-pilon.62.update	0.793773260027037	0.275073237922344	0.115	0.114	1
evm.model.000108F-arrow-pilon.44.update	0.811379120285541	-0.349720955046081	0.113	0.109	1
evm.model.000059F-arrow-pilon.75.update	0.845200426825569	0.432714330300476	0.107	0.11	1
evm.model.000577F-arrow-pilon.8.update	0.936027682811907	-0.308325113808421	0.184	0.183	1
